IDServices;ServiceName;Description;Price;Photo;Category;IsActive
1;Обрезной маникюр;Классический обрезной маникюр с покрытием лаком;1200,00;System.Byte[];1;True
2;Необрезной маникюр;Европейский необрезной маникюр;1300,00;System.Byte[];1;True
3;Аппаратный маникюр;Маникюр с использованием аппарата;1500,00;System.Byte[];1;True
4;Гель-лак;Покрытие гель-лаком;1800,00;System.Byte[];1;True
5;Классический педикюр;Полный гигиенический педикюр;2000,00;System.Byte[];2;True
6;Аппаратный педикюр;Педикюр с использованием аппарата;2200,00;System.Byte[];2;True
7;Мужской маникюр;Гигиенический маникюр для мужчин;1000,00;System.Byte[];1;True
8;Наращивание ногтей;Наращивание ногтей гелем;2500,00;System.Byte[];3;True
9;Укрепление ногтей;Укрепление натуральных ногтей акригелем;1500,00;System.Byte[];3;True
10;Коррекция ногтей;Коррекция нарощенных ногтей;1800,00;System.Byte[];3;True
11;Парафинотерапия;Уход за кожей рук с парафином;800,00;System.Byte[];4;True
12;СПА-уход за руками;Комплексный уход за кожей рук;1500,00;System.Byte[];4;True
13;СПА-уход за ногами;Комплексный уход за кожей ног;2000,00;System.Byte[];4;True
14;Дизайн ногтей;Художественная роспись и дизайн;700,00;System.Byte[];1;True
